0	1.501566582
0.1	1.506279715
0.2	1.514184381
0.3	1.525348681
0.4	1.539867441
0.5	1.557865038
0.6	1.579490528
0.7	1.604911303
0.8	1.634320186
0.9	1.667940576
1	1.706014149
1.1	1.748804799
1.2	1.796583568
1.3	1.849695627
1.4	1.908478099
1.5	1.973310118
1.6	2.044607243
1.7	2.12276945
1.8	2.208210518
1.9	2.301397643
2	2.402553081
2.1	2.511813512
2.2	2.629656543
2.3	2.7557106
2.4	2.890432353
2.5	3.032973818
2.6	3.186797868
2.7	3.346936042
2.8	3.516449457
2.9	3.69521315
3	3.881994695
3.1	4.074469026
3.2	4.268592396
3.3	4.465022148
3.4	4.66316066
3.5	4.871416619
3.6	5.065435287
3.7	5.258559183
3.8	5.446552943
3.9	5.64321078
4	5.855088813
4.1	6.096586149
4.2	6.349964248
4.3	6.58953378
4.4	6.829086038
4.5	7.03427999
4.6	7.195670982
4.7	7.319457308
4.8	7.42114096
4.9	7.486564338
5	7.538996402
5.1	7.568473188
5.2	7.570066939
5.3	7.552664599
5.4	7.52193138
5.5	7.474263219
5.6	7.412943847
5.7	7.343646099
5.8	7.268542912
5.9	7.185782734
6	7.092782692
6.1	6.988637995
6.2	6.881573894
6.3	6.76552324
6.4	6.643245283
6.5	6.514371588
6.6	6.379531035
6.7	6.24054355
6.8	6.103133713
6.9	5.966425802
7	5.831750954
7.1	5.6979376
7.2	5.56129979
7.3	5.424594089
7.4	5.289673699
7.5	5.155081449
7.6	5.025758968
7.7	4.899772794
7.8	4.7797474
7.9	4.66308443
8	4.548673483
8.1	4.439778559
8.2	4.335658827
8.3	4.235028311
8.4	4.140292534
8.5	4.047947756
8.6	3.954849199
8.7	3.862952337
8.8	3.773607355
8.9	3.687619624
9	3.603463224
9.1	3.520970663
9.2	3.440882056
9.3	3.362237256
9.4	3.284012413
9.5	3.207704589
9.6	3.134157067
9.7	3.061889608
9.8	2.991649844
9.9	2.923871249
10	2.857416059
10.1	2.791281466
10.2	2.726032321
10.3	2.662966198
10.4	2.602215791
10.5	2.54345796
10.6	2.485266667
10.7	2.428513901
10.8	2.37219427
10.9	2.3170972
11	2.263170811
11.1	2.210957898
11.2	2.160491615
11.3	2.11156337
11.4	2.063803057
11.5	2.017375511
11.6	1.972456961
11.7	1.928226159
11.8	1.883897675
11.9	1.840974084
12	1.79957995
12.1	1.759001087
12.2	1.720226352
12.3	1.68271774
12.4	1.645871787
12.5	1.61010904
12.6	1.575518263
12.7	1.541449332
12.8	1.508459865
12.9	1.476965573
13	1.446851273
13.1	1.417652252
13.2	1.389102079
13.3	1.361436249
13.4	1.334367527
13.5	1.308343966
13.6	1.282737825
13.7	1.257855462
13.8	1.23379609
13.9	1.210343912
14	1.187324585
14.1	1.164707511
14.2	1.142892747
14.3	1.121808082
14.4	1.101380175
14.5	1.081621553
14.6	1.062053128
14.7	1.042954733
14.8	1.02418449
14.9	1.005936423
15	1.005936423
