0	1.501566584
0.1	1.506279725
0.2	1.514184375
0.3	1.525348718
0.4	1.539867467
0.5	1.557865123
0.6	1.579490675
0.7	1.604912614
0.8	1.634322566
0.9	1.667944354
1	1.706018066
1.1	1.748813065
1.2	1.796598657
1.3	1.849706619
1.4	1.90848002
1.5	1.973303881
1.6	2.044607771
1.7	2.122828656
1.8	2.208395175
1.9	2.301849776
2	2.403965457
2.1	2.51375361
2.2	2.632758955
2.3	2.760482112
2.4	2.898559178
2.5	3.04709473
2.6	3.207789078
2.7	3.381122602
2.8	3.566261912
2.9	3.759047682
3	3.957028909
3.1	4.159523401
3.2	4.361930601
3.3	4.561801053
3.4	4.761418864
3.5	4.957340522
3.6	5.14923322
3.7	5.337365876
3.8	5.502444292
3.9	5.660456139
4	5.808773829
4.1	5.938874407
4.2	6.057022224
4.3	6.166024347
4.4	6.274631495
4.5	6.368492528
4.6	6.455559575
4.7	6.536996369
4.8	6.602857986
4.9	6.656292386
5	6.695642085
5.1	6.718393094
5.2	6.726438102
5.3	6.726377934
5.4	6.71577078
5.5	6.692448352
5.6	6.661665412
5.7	6.622858078
5.8	6.583363043
5.9	6.534450302
6	6.46929679
6.1	6.399602663
6.2	6.318681231
6.3	6.228491832
6.4	6.133401908
6.5	6.025846383
6.6	5.910727538
6.7	5.791455215
6.8	5.671335155
6.9	5.547485887
7	5.42327539
7.1	5.294933472
7.2	5.163701074
7.3	5.037409045
7.4	4.910657168
7.5	4.780846523
7.6	4.655178675
7.7	4.53565979
7.8	4.418993296
7.9	4.301140051
8	4.182312264
8.1	4.059835177
8.2	3.943359341
8.3	3.835707384
8.4	3.729872328
8.5	3.626865687
8.6	3.529845043
8.7	3.432076383
8.8	3.340225939
8.9	3.251787609
9	3.167943427
9.1	3.083518914
9.2	2.999479715
9.3	2.916290537
9.4	2.838149583
9.5	2.76328307
9.6	2.690718412
9.7	2.622092289
9.8	2.55819657
9.9	2.495944125
10	2.436350728
10.1	2.376223867
10.2	2.317998576
10.3	2.262423519
10.4	2.209340731
10.5	2.158889118
10.6	2.109285414
10.7	2.061407116
10.8	2.015121483
10.9	1.969510581
11	1.926842136
11.1	1.886522859
11.2	1.846454103
11.3	1.806806561
11.4	1.769313977
11.5	1.732633312
11.6	1.698463147
11.7	1.665272911
11.8	1.632426741
11.9	1.600077172
12	1.568439238
12.1	1.537095055
12.2	1.507088067
12.3	1.478322381
12.4	1.449739431
12.5	1.421763402
12.6	1.394247988
12.7	1.367687047
12.8	1.341292661
12.9	1.314705486
13	1.289151171
13.1	1.264533305
13.2	1.240590117
13.3	1.216096471
13.4	1.192260057
13.5	1.168481075
13.6	1.145057027
13.7	1.122110643
13.8	1.100402456
13.9	1.079358826
14	1.058541134
14.1	1.038333673
14.2	1.019379031
14.3	1.001027163
14.4	0.9831632894
14.5	0.9656782599
14.6	0.948538834
14.7	0.9319521497
14.8	0.915748629
14.9	0.8999253324
15	0.8999253324
