epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_rgp2Ws.so
[0 - 7f3583f81780] {4}{threads}: reservation ('CPU proc 1d00000000000009') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    44 |  4.4000e-02 |  1.0000e-03 |  1.5256e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    45 |  4.5000e-02 |  1.0000e-03 |  1.5051e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    46 |  4.6000e-02 |  1.0000e-03 |  1.5272e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    47 |  4.7000e-02 |  1.0000e-03 | 3.3528e-312 | 3.5225e-312 | 2.2705e-312 |  1.0000e+00
    48 |  4.8000e-02 |  1.0000e-03 |  1.5059e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    49 |  4.9000e-02 |  1.0000e-03 |  1.4939e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    50 |  5.0000e-02 |  1.0000e-03 |  1.5308e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  5.1000e-02 |  1.0000e-03 |  1.5067e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    52 |  5.2000e-02 |  1.0000e-03 |  6.6667e-01 |  8.9926e-01 |  1.0000e+00 |  1.0000e+00
    53 |  5.3000e-02 |  1.0000e-03 |  1.5073e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    54 |  5.4000e-02 |  1.0000e-03 |  1.4923e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    55 |  5.5000e-02 |  1.0000e-03 |  1.5354e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    56 |  5.6000e-02 |  1.0000e-03 |  1.5083e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    57 |  5.7000e-02 |  1.0000e-03 |  1.4626e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    58 |  5.8000e-02 |  1.0000e-03 |  1.5090e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    59 |  5.9000e-02 |  1.0000e-03 |  1.5394e+00 |  3.0000e+00 |  1.0000e+00 |  1.0000e+00
    60 |  6.0000e-02 |  1.0000e-03 |  6.6667e-01 |  1.0269e+00 |  1.0000e+00 |  1.0000e+00
