cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_lm6Yk9.so
[0 - 7f312d41d780] {4}{threads}: reservation ('utility proc 1d00000000000000') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
    22 |  2.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    23 |  2.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    24 |  2.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    25 |  2.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    26 |  2.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    27 |  2.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    28 |  2.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    29 |  2.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    30 |  3.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    31 |  3.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    32 |  3.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    33 |  3.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    34 |  3.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    35 |  3.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    36 |  3.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    37 |  3.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    38 |  3.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    39 |  3.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    40 |  4.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    41 |  4.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    42 |  4.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    43 |  4.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    44 |  4.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    45 |  4.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    46 |  4.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    47 |  4.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    48 |  4.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    49 |  4.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    50 |  5.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
-------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  5.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    52 |  5.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    53 |  5.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    54 |  5.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    55 |  5.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    56 |  5.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    57 |  5.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    58 |  5.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    59 |  5.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    60 |  6.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    61 |  6.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    62 |  6.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    63 |  6.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    64 |  6.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    65 |  6.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    66 |  6.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    67 |  6.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    68 |  6.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    69 |  6.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    70 |  7.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    71 |  7.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    72 |  7.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    73 |  7.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    74 |  7.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    75 |  7.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    76 |  7.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    77 |  7.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    78 |  7.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    79 |  7.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    80 |  8.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    81 |  8.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    82 |  8.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    83 |  8.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    84 |  8.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    85 |  8.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    86 |  8.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    87 |  8.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    88 |  8.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    89 |  8.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    90 |  9.0000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    91 |  9.1000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    92 |  9.2000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    93 |  9.3000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    94 |  9.4000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    95 |  9.5000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    96 |  9.6000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    97 |  9.7000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    98 |  9.8000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
    99 |  9.9000e-02 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   100 |  1.0000e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

  Step |        Time |    Timestep |     Min rho |     Max rho |       Min p |       Max p
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.0100e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   102 |  1.0200e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   103 |  1.0300e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   104 |  1.0400e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   105 |  1.0500e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   106 |  1.0600e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   107 |  1.0700e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   108 |  1.0800e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   109 |  1.0900e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   110 |  1.1000e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   111 |  1.1100e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   112 |  1.1200e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   113 |  1.1300e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   114 |  1.1400e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   115 |  1.1500e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   116 |  1.1600e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   117 |  1.1700e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   118 |  1.1800e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   119 |  1.1900e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   120 |  1.2000e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   121 |  1.2100e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   122 |  1.2200e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   123 |  1.2300e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   124 |  1.2400e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00
   125 |  1.2500e-01 |  1.0000e-03 |  0.0000e+00 |  0.0000e+00 |  0.0000e+00 |  1.0000e+00

Error in rho = 0.0043693
Error in u   = 0.0115924
Error in v   = 0.0115924
Error in w   = 0.00383365
Error in p   = 0.0128365

Average time per time step =  5.02942e+01
