epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_4wb8ZL.so
[0 - 7f778d810780] {4}{threads}: reservation ('utility proc 1d00000000000000') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    85 |  8.5000e-02 |  1.0000e-03 |  1.6491e-10 |  7.1054e-15 |  1.1324e-14 |  1.0000e+00
    86 |  8.6000e-02 |  1.0000e-03 |  1.6685e-10 |  7.3275e-15 |  1.1102e-14 |  1.0000e+00
    87 |  8.7000e-02 |  1.0000e-03 |  1.6878e-10 |  7.3275e-15 |  1.0658e-14 |  1.0000e+00
    88 |  8.8000e-02 |  1.0000e-03 |  1.7071e-10 |  7.3275e-15 |  1.1324e-14 |  1.0000e+00
    89 |  8.9000e-02 |  1.0000e-03 |  1.7262e-10 |  7.2164e-15 |  1.1324e-14 |  1.0000e+00
    90 |  9.0000e-02 |  1.0000e-03 |  1.7452e-10 |  7.4385e-15 |  1.1324e-14 |  1.0000e+00
    91 |  9.1000e-02 |  1.0000e-03 |  1.7641e-10 |  7.5495e-15 |  1.1435e-14 |  1.0000e+00
    92 |  9.2000e-02 |  1.0000e-03 |  1.7829e-10 |  7.6605e-15 |  1.1768e-14 |  1.0000e+00
    93 |  9.3000e-02 |  1.0000e-03 |  1.8015e-10 |  7.9936e-15 |  1.1546e-14 |  1.0000e+00
    94 |  9.4000e-02 |  1.0000e-03 |  1.8205e-10 |  8.1046e-15 |  1.1546e-14 |  1.0000e+00
    95 |  9.5000e-02 |  1.0000e-03 |  1.8406e-10 |  8.2157e-15 |  1.1435e-14 |  1.0000e+00
    96 |  9.6000e-02 |  1.0000e-03 |  1.8606e-10 |  8.2157e-15 |  1.1768e-14 |  1.0000e+00
    97 |  9.7000e-02 |  1.0000e-03 |  1.8806e-10 |  8.2157e-15 |  1.1324e-14 |  1.0000e+00
    98 |  9.8000e-02 |  1.0000e-03 |  1.9004e-10 |  8.3267e-15 |  1.1324e-14 |  1.0000e+00
    99 |  9.9000e-02 |  1.0000e-03 |  1.9202e-10 |  8.4377e-15 |  1.1435e-14 |  1.0000e+00
   100 |  1.0000e-01 |  1.0000e-03 |  1.9398e-10 |  8.5487e-15 |  1.1990e-14 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.0100e-01 |  1.0000e-03 |  1.9593e-10 |  8.9928e-15 |  1.2657e-14 |  1.0000e+00
   102 |  1.0200e-01 |  1.0000e-03 |  1.9788e-10 |  9.3259e-15 |  1.2657e-14 |  1.0000e+00
   103 |  1.0300e-01 |  1.0000e-03 |  1.9981e-10 |  9.3259e-15 |  1.2657e-14 |  1.0000e+00
   104 |  1.0400e-01 |  1.0000e-03 |  2.0172e-10 |  9.1038e-15 |  1.2657e-14 |  1.0000e+00
   105 |  1.0500e-01 |  1.0000e-03 |  2.0363e-10 |  9.5479e-15 |  1.2768e-14 |  1.0000e+00
   106 |  1.0600e-01 |  1.0000e-03 |  2.0552e-10 |  9.4369e-15 |  1.3101e-14 |  1.0000e+00
   107 |  1.0700e-01 |  1.0000e-03 |  2.0740e-10 |  9.4369e-15 |  1.3212e-14 |  1.0000e+00
   108 |  1.0800e-01 |  1.0000e-03 |  2.0926e-10 |  9.3259e-15 |  1.3656e-14 |  1.0000e+00
   109 |  1.0900e-01 |  1.0000e-03 |  2.1111e-10 |  9.2149e-15 |  1.3656e-14 |  1.0000e+00
   110 |  1.1000e-01 |  1.0000e-03 |  2.1308e-10 |  8.9928e-15 |  1.3101e-14 |  1.0000e+00
   111 |  1.1100e-01 |  1.0000e-03 |  2.1510e-10 |  8.8818e-15 |  1.2879e-14 |  1.0000e+00
   112 |  1.1200e-01 |  1.0000e-03 |  2.1711e-10 |  8.5487e-15 |  1.2879e-14 |  1.0000e+00
   113 |  1.1300e-01 |  1.0000e-03 |  2.1911e-10 |  8.5487e-15 |  1.2657e-14 |  1.0000e+00
   114 |  1.1400e-01 |  1.0000e-03 |  2.2110e-10 |  8.4377e-15 |  1.1768e-14 |  1.0000e+00
   115 |  1.1500e-01 |  1.0000e-03 |  2.2308e-10 |  8.4377e-15 |  1.2323e-14 |  1.0000e+00
   116 |  1.1600e-01 |  1.0000e-03 |  2.2504e-10 |  8.4377e-15 |  1.2657e-14 |  1.0000e+00
   117 |  1.1700e-01 |  1.0000e-03 |  2.2699e-10 |  8.4377e-15 |  1.2323e-14 |  1.0000e+00
   118 |  1.1800e-01 |  1.0000e-03 |  2.2892e-10 |  8.2157e-15 |  1.2768e-14 |  1.0000e+00
   119 |  1.1900e-01 |  1.0000e-03 |  2.3084e-10 |  7.9936e-15 |  1.3323e-14 |  1.0000e+00
   120 |  1.2000e-01 |  1.0000e-03 |  2.3275e-10 |  8.2157e-15 |  1.4100e-14 |  1.0000e+00
   121 |  1.2100e-01 |  1.0000e-03 |  2.3464e-10 |  8.4377e-15 |  1.3989e-14 |  1.0000e+00
   122 |  1.2200e-01 |  1.0000e-03 |  2.3652e-10 |  8.6597e-15 |  1.4433e-14 |  1.0000e+00
   123 |  1.2300e-01 |  1.0000e-03 |  2.3838e-10 |  8.8818e-15 |  1.4877e-14 |  1.0000e+00
   124 |  1.2400e-01 |  1.0000e-03 |  2.4023e-10 |  9.1038e-15 |  1.5099e-14 |  1.0000e+00
   125 |  1.2500e-01 |  1.0000e-03 |  2.4207e-10 |  9.5479e-15 |  1.4877e-14 |  1.0000e+00

Error in rho = 2.42073e-10
Error in u   = 9.54792e-15
Error in v   = 9.54792e-15
Error in w   = 9.76996e-15
Error in p   = 1.4877e-14

Average time per time step =  5.17371e+01
