cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_JxsHVh.so
[0 - 7f1308a8f780] {4}{threads}: reservation ('GPU worker thread') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 2.000000, 2.000000, 2.000000
           dx, dy, dz           = 0.031250, 0.031250, 0.031250
           Time stepping method = CONSTANT_TIME_STEP
           dt                   = 0.001000
           prow, pcol           = 1, 1
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    86 |  8.6000e-02 |  1.0000e-03 |  1.6685e-10 |  3.5527e-15 |  7.4385e-15 |  1.0000e+00
    87 |  8.7000e-02 |  1.0000e-03 |  1.6878e-10 |  3.5527e-15 |  7.4385e-15 |  1.0000e+00
    88 |  8.8000e-02 |  1.0000e-03 |  1.7070e-10 |  3.5527e-15 |  7.3275e-15 |  1.0000e+00
    89 |  8.9000e-02 |  1.0000e-03 |  1.7262e-10 |  3.7748e-15 |  7.7716e-15 |  1.0000e+00
    90 |  9.0000e-02 |  1.0000e-03 |  1.7452e-10 |  3.7748e-15 |  6.9944e-15 |  1.0000e+00
    91 |  9.1000e-02 |  1.0000e-03 |  1.7641e-10 |  3.7748e-15 |  7.1054e-15 |  1.0000e+00
    92 |  9.2000e-02 |  1.0000e-03 |  1.7829e-10 |  3.5527e-15 |  7.1054e-15 |  1.0000e+00
    93 |  9.3000e-02 |  1.0000e-03 |  1.8015e-10 |  3.7748e-15 |  6.5503e-15 |  1.0000e+00
    94 |  9.4000e-02 |  1.0000e-03 |  1.8205e-10 |  3.7748e-15 |  6.6613e-15 |  1.0000e+00
    95 |  9.5000e-02 |  1.0000e-03 |  1.8405e-10 |  3.7748e-15 |  6.2172e-15 |  1.0000e+00
    96 |  9.6000e-02 |  1.0000e-03 |  1.8606e-10 |  3.9968e-15 |  6.4393e-15 |  1.0000e+00
    97 |  9.7000e-02 |  1.0000e-03 |  1.8805e-10 |  4.2188e-15 |  6.4393e-15 |  1.0000e+00
    98 |  9.8000e-02 |  1.0000e-03 |  1.9004e-10 |  4.4409e-15 |  6.4393e-15 |  1.0000e+00
    99 |  9.9000e-02 |  1.0000e-03 |  1.9202e-10 |  4.2188e-15 |  6.4393e-15 |  1.0000e+00
   100 |  1.0000e-01 |  1.0000e-03 |  1.9398e-10 |  4.2188e-15 |  6.4393e-15 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
   101 |  1.0100e-01 |  1.0000e-03 |  1.9593e-10 |  4.2188e-15 |  6.6613e-15 |  1.0000e+00
   102 |  1.0200e-01 |  1.0000e-03 |  1.9787e-10 |  4.2188e-15 |  6.6613e-15 |  1.0000e+00
   103 |  1.0300e-01 |  1.0000e-03 |  1.9980e-10 |  4.2188e-15 |  6.6613e-15 |  1.0000e+00
   104 |  1.0400e-01 |  1.0000e-03 |  2.0172e-10 |  4.4409e-15 |  6.6613e-15 |  1.0000e+00
   105 |  1.0500e-01 |  1.0000e-03 |  2.0363e-10 |  4.4409e-15 |  6.5503e-15 |  1.0000e+00
