epsilon = 1.0e-10
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_lI8yNA.so
[0 - 7f88a92c7780] {4}{threads}: reservation ('CPU proc 1d0000000000000a') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
    44 |  6.5274e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 |  4.6235e-06 |  1.0000e+00
    45 |  6.6758e-02 |  1.4835e-03 |  4.9750e-01 |  9.9499e-01 |  2.2882e-11 |  1.0000e+00
    46 |  6.8241e-02 |  1.4835e-03 |  7.8475e-06 |  1.5695e-05 |  2.7713e-06 |  1.0000e+00
    47 |  6.9725e-02 |  1.4835e-03 |  1.1600e-03 |  2.3201e-03 |  7.6709e-10 |  1.0000e+00
    48 |  7.1208e-02 |  1.4835e-03 |  2.3960e-03 |  4.7920e-03 |  3.0063e-06 |  1.0000e+00
    49 |  7.2692e-02 |  1.4835e-03 |  4.9751e-01 |  9.9501e-01 |  2.9951e-11 |  1.0000e+00
    50 |  7.4175e-02 |  1.4835e-03 |  4.9568e-01 |  9.9139e-01 |  1.9605e-10 |  1.0000e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE
-------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  7.5659e-02 |  1.4835e-03 |  6.6667e-01 |  9.9997e-01 | -1.4265e-05 |  1.0000e+00
    52 |  7.7142e-02 |  1.4835e-03 |  4.9749e-01 |  9.9499e-01 |  3.6418e-11 |  1.0000e+00
    53 |  7.8626e-02 |  1.4835e-03 |  6.6667e-01 |  1.0000e+00 |  6.2285e-06 |  1.0000e+00
    54 |  8.0109e-02 |  1.4835e-03 |  4.9748e-01 |  9.9496e-01 |  4.1276e-11 |  1.0000e+00
    55 |  8.1593e-02 |  1.4835e-03 |  4.9747e-01 |  9.9494e-01 |  4.3858e-11 |  1.0000e+00
    56 |  8.3076e-02 |  1.4835e-03 |  4.9746e-01 |  9.9492e-01 |  4.6531e-11 |  1.0000e+00
    57 |  8.4560e-02 |  1.4835e-03 |  2.3991e-03 |  4.7982e-03 |  4.2387e-06 |  1.0000e+00
    58 |  8.6043e-02 |  1.4835e-03 |  2.3995e-03 |  4.7990e-03 |  4.3889e-06 |  1.0000e+00
    59 |  8.7527e-02 |  1.4835e-03 |  4.9741e-01 |  9.9483e-01 |  5.4997e-11 |  1.0000e+00
    60 |  8.9011e-02 |  1.4835e-03 |  4.9522e-01 |  9.9048e-01 |  2.7914e-10 |  1.0000e+00
    61 |  9.0494e-02 |  1.4835e-03 |  6.6667e-01 |  9.9999e-01 |  7.8022e-06 |  1.0000e+00
    62 |  9.1978e-02 |  1.4835e-03 |  4.9736e-01 |  9.9473e-01 |  6.3831e-11 |  1.0000e+00
    63 |  9.3461e-02 |  1.4835e-03 |  4.9734e-01 |  9.9469e-01 |  6.6773e-11 |  1.0000e+00
    64 |  9.4945e-02 |  1.4835e-03 |  4.9500e-01 |  9.9005e-01 |  3.2603e-10 |  1.0000e+00
    65 |  9.6428e-02 |  1.4835e-03 |  2.4028e-03 |  4.8057e-03 |  5.5144e-06 |  1.0000e+00
    66 |  9.7912e-02 |  1.4835e-03 |  4.9727e-01 |  9.9456e-01 |  7.5285e-11 |  1.0000e+00
    67 |  9.9395e-02 |  1.4835e-03 |  2.4039e-03 |  4.8078e-03 |  5.8601e-06 |  1.0000e+00
    68 |  1.0088e-01 |  1.4835e-03 |  4.9723e-01 |  9.9446e-01 |  8.0458e-11 |  1.0000e+00
    69 |  1.0236e-01 |  1.4835e-03 |  1.0437e-05 |  2.0874e-05 |  6.2304e-06 |  1.0000e+00
    70 |  1.0385e-01 |  1.4835e-03 |  4.9718e-01 |  9.9436e-01 |  8.5003e-11 |  1.0000e+00
    71 |  1.0533e-01 |  1.4835e-03 |  4.9715e-01 |  9.9431e-01 |  8.6981e-11 |  1.0000e+00
    72 |  1.0681e-01 |  1.4835e-03 |  6.6667e-01 |  9.9999e-01 |  9.4198e-06 |  1.0000e+00
    73 |  1.0830e-01 |  1.4835e-03 |  2.4072e-03 |  4.8144e-03 |  6.9613e-06 |  1.0000e+00
    74 |  1.0978e-01 |  1.4835e-03 |  4.9707e-01 |  9.9415e-01 |  9.1478e-11 |  1.0000e+00
    75 |  1.1126e-01 |  1.4835e-03 | 3.3528e-312 | 3.5225e-312 | 2.2705e-312 |  1.0000e+00
    76 |  1.1275e-01 |  1.4835e-03 |  4.9702e-01 |  9.9405e-01 |  9.3097e-11 |  1.0000e+00
    77 |  1.1423e-01 |  1.4835e-03 |  2.4095e-03 |  4.8190e-03 |  7.7490e-06 |  1.0000e+00
    78 |  1.1571e-01 |  1.4835e-03 |  2.4101e-03 |  4.8201e-03 |  7.9526e-06 |  1.0000e+00
    79 |  1.1720e-01 |  1.4835e-03 |  2.4107e-03 |  4.8213e-03 |  8.1588e-06 |  1.0000e+00
    80 |  1.1868e-01 |  1.4835e-03 |  4.9691e-01 |  9.9384e-01 |  9.2556e-11 |  1.0000e+00
    81 |  1.2016e-01 |  1.4835e-03 |  4.9689e-01 |  9.9379e-01 |  9.1600e-11 |  1.0000e+00
    82 |  1.2165e-01 |  1.4835e-03 |  4.9686e-01 |  9.9374e-01 |  9.0317e-11 |  1.0000e+00
    83 |  1.2313e-01 |  1.4835e-03 |  4.9684e-01 |  9.9369e-01 |  8.8718e-11 |  1.0000e+00
    84 |  1.2461e-01 |  1.4835e-03 |  1.4835e-03 | -1.0564e+00 |  1.8817e-01 |  1.0000e+00
    85 |  1.2610e-01 |  1.4835e-03 |  2.4141e-03 |  4.8281e-03 |  9.4520e-06 |  1.0000e+00
    86 |  1.2758e-01 |  1.4835e-03 |  4.9677e-01 |  9.9355e-01 |  8.2155e-11 |  1.0000e+00
