Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_g8FRco.so
[0 - 7f84910fd780] {4}{threads}: reservation ('CPU proc 1d00000000000003') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    38 |  1.1276e-01 |  2.9673e-03 |  0.0000e+00 |  3.3333e-01 |  1.1648e-01 |  1.0000e+00 |  1.0013e+00
    39 |  1.1573e-01 |  2.9673e-03 |  0.0000e+00 |  3.3333e-01 |  1.5633e-03 |  1.0000e+00 |  1.0014e+00
    40 |  1.1869e-01 |  2.9673e-03 |  0.0000e+00 |  5.0930e+00 |  3.4013e-03 |  1.0000e+00 |  1.0015e+00
    41 |  1.2166e-01 |  2.9673e-03 |  3.5733e-06 | -9.8091e-02 | -1.5921e-02 |  1.0000e+00 |  1.0015e+00
    42 |  1.2463e-01 |  2.9673e-03 | -0.0000e+00 |  5.0930e+00 | -1.6115e-01 |  1.0000e+00 |  1.0016e+00
    43 |  1.2760e-01 |  2.9673e-03 |  3.7159e-04 |  1.0871e-02 |  1.1071e-01 |  1.0000e+00 |  1.0017e+00
    44 |  1.3056e-01 |  2.9673e-03 |  3.6710e-04 |  8.2824e-03 |  4.5206e-04 |  1.0000e+00 |  1.0018e+00
    45 |  1.3353e-01 |  2.9673e-03 |  3.5787e-06 |  9.5665e-02 |  1.3569e-02 |  1.0000e+00 |  1.0019e+00
    46 |  1.3650e-01 |  2.9673e-03 |  3.6752e-04 | -1.0812e-02 | -1.0541e-03 |  1.0000e+00 |  1.0019e+00
    47 |  1.3946e-01 |  2.9673e-03 |  0.0000e+00 |  5.0930e+00 |  3.7260e-03 |  1.0000e+00 |  1.0020e+00
    48 |  1.4243e-01 |  2.9673e-03 | -0.0000e+00 |  5.0930e+00 | -1.3805e-02 |  1.0000e+00 |  1.0021e+00
    49 |  1.4540e-01 |  2.9673e-03 |  3.7337e-04 | -8.2979e-03 | -1.5670e-03 |  1.0000e+00 |  1.0022e+00
