Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
    38 |  5.6373e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  2.9191e-04 |  1.0000e+00 |  1.0003e+00
    39 |  5.7857e-02 |  1.4835e-03 |  9.5920e-03 |  2.5657e-04 | -1.0487e-01 |  1.0000e+00 |  1.0003e+00
    40 |  5.9340e-02 |  1.4835e-03 |  2.3212e-05 |  2.5467e-03 | -4.0068e-03 |  1.0000e+00 |  1.0004e+00
    41 |  6.0824e-02 |  1.4835e-03 |  2.3151e-05 |  2.2545e-03 |  1.9681e-04 |  1.0000e+00 |  1.0004e+00
    42 |  6.2307e-02 |  1.4835e-03 |  2.3152e-05 |  2.2508e-03 |  2.9504e-02 |  1.0000e+00 |  1.0004e+00
    43 |  6.3791e-02 |  1.4835e-03 |  2.3153e-05 |  2.2470e-03 |  3.0111e-02 |  1.0000e+00 |  1.0004e+00
    44 |  6.5274e-02 |  1.4835e-03 |  9.5944e-03 |  3.8642e-05 | -8.1667e-02 |  1.0000e+00 |  1.0004e+00
    45 |  6.6758e-02 |  1.4835e-03 |  2.3234e-05 |  2.5663e-03 |  4.6112e-04 |  1.0000e+00 |  1.0005e+00
    46 |  6.8241e-02 |  1.4835e-03 |  2.3239e-05 |  2.5702e-03 |  5.3432e-02 |  1.0000e+00 |  1.0005e+00
    47 |  6.9725e-02 |  1.4835e-03 |  2.3161e-05 | -2.5659e-03 | -8.1573e-02 |  1.0000e+00 |  1.0005e+00
    48 |  7.1208e-02 |  1.4835e-03 |  2.3158e-05 |  2.2284e-03 |  8.1683e-02 |  1.0000e+00 |  1.0005e+00
    49 |  7.2692e-02 |  1.4835e-03 |  2.3253e-05 | -2.2329e-03 |  4.8504e-04 |  1.0000e+00 |  1.0006e+00
    50 |  7.4175e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.3005e-03 |  1.0000e+00 |  1.0006e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
    51 |  7.5659e-02 |  1.4835e-03 |  2.3167e-05 | -2.5793e-03 |  1.9701e-04 |  1.0000e+00 |  1.0006e+00
    52 |  7.7142e-02 |  1.4835e-03 |  2.3163e-05 |  2.2134e-03 |  5.0305e-04 |  1.0000e+00 |  1.0006e+00
    53 |  7.8626e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  4.3208e-03 |  1.0000e+00 |  1.0006e+00
    54 |  8.0109e-02 |  1.4835e-03 |  5.6005e-08 | -4.9072e-02 | -1.1398e-01 |  1.0000e+00 |  1.0007e+00
    55 |  8.1593e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  5.1074e-04 |  1.0000e+00 |  1.0007e+00
    56 |  8.3076e-02 |  1.4835e-03 |  2.3168e-05 |  2.1982e-03 |  6.8214e-06 |  1.0000e+00 |  1.0007e+00
    57 |  8.4560e-02 |  1.4835e-03 |  2.3170e-05 |  2.1945e-03 |  8.0833e-02 |  1.0000e+00 |  1.0007e+00
    58 |  8.6043e-02 |  1.4835e-03 |  0.0000e+00 |  1.0186e+01 |  3.6373e-03 |  1.0000e+00 |  1.0008e+00
    59 |  8.7527e-02 |  1.4835e-03 |  5.6040e-08 |  4.8663e-02 | -4.3247e-03 |  1.0000e+00 |  1.0008e+00
    60 |  8.9011e-02 |  1.4835e-03 |  2.3181e-05 | -2.6094e-03 |  7.2788e-02 |  1.0000e+00 |  1.0008e+00
    61 |  9.0494e-02 |  1.4835e-03 |  5.6054e-08 |  4.8654e-02 |  7.4002e-02 |  1.0000e+00 |  1.0009e+00
    62 |  9.1978e-02 |  1.4835e-03 |  2.3327e-05 |  2.6363e-03 |  5.7851e-04 |  1.0000e+00 |  1.0009e+00
    63 |  9.3461e-02 |  1.4835e-03 |  2.3334e-05 | -2.1903e-03 |  5.8993e-04 |  1.0000e+00 |  1.0009e+00
    64 |  9.4945e-02 |  1.4835e-03 |  5.6077e-08 |  4.8641e-02 | -7.7780e-02 |  1.0000e+00 |  1.0009e+00
    65 |  9.6428e-02 |  1.4835e-03 |  9.6062e-03 |  1.1411e-04 |  3.5906e-03 |  1.0000e+00 |  1.0010e+00
    66 |  9.7912e-02 |  1.4835e-03 |  2.3182e-05 |  2.1616e-03 |  4.0240e-03 |  1.0000e+00 |  1.0010e+00
    67 |  9.9395e-02 |  1.4835e-03 |  5.6101e-08 |  4.8629e-02 | -4.0212e-03 |  1.0000e+00 |  1.0010e+00
    68 |  1.0088e-01 |  1.4835e-03 |  2.3368e-05 | -2.1756e-03 |  8.0601e-02 |  1.0000e+00 |  1.0011e+00
    69 |  1.0236e-01 |  1.4835e-03 |  2.3375e-05 |  2.6658e-03 |  3.7951e-02 |  1.0000e+00 |  1.0011e+00
    70 |  1.0385e-01 |  1.4835e-03 |  2.3189e-05 |  2.1465e-03 |  4.0230e-03 |  1.0000e+00 |  1.0011e+00
